<oov>	oov
燉	t ɐ n
燒	s i:u
燕	j i: n
燙	tʰ ɔ: ŋ
燜	m u: n
營	j ɪ ŋ
燥	t sʰ ou
燭	t s ʊ k
燴	w u:i
燶	n ʊ ŋ
燶	l ʊ ŋ
爆	p a:u
爐	l ou
爛	l a: n
爪	t s a:u
爬	pʰ a:
爭	t sʰ a: ŋ
爭	t s a: ŋ
爭	t s ɐ ŋ
爲	w ɐi
爵	t s œ: k
父	f u:
爸	p a:
爹	t ɛ:
爺	j ɛ:
爽	s ɔ: ŋ
爾	j i:
牀	t sʰ ɔ: ŋ
牆	t sʰ œ: ŋ
片	pʰ i: n
版	p a: n
牌	pʰ a:i
牘	t ʊ k
牙	a:
牙	ŋ a:
牛	ŋ ɐu
牡	m a:u
牡	m ɐu
牢	l ou
牧	m ʊ k
物	m ɐ t
牯	k u:
牲	s ɐ ŋ
牲	s a: ŋ
特	t ɐ k
牽	h i: n
犀	s ɐi
犁	l ɐi
犧	h ei
犬	h y: n
犯	f a: n
狀	t s ɔ: ŋ
狂	kʰ ɔ: ŋ
狂	kʰ w ɔ: ŋ
狄	t ɪ k
狐	w u:
狗	k ɐu
狠	h ɐ n
狡	k a:u
狩	s ɐu
狸	l ei
狹	k i: p
狹	h a: p
狼	l ɔ: ŋ
猄	k ɪ ŋ
猛	m a: ŋ
猜	t sʰ a:i
猴	h ɐu
猶	j ɐu
猾	w a: t
猿	j y: n
獄	j ʊ k
獅	s i:
獎	t s œ: ŋ
獠	l ou
獠	l i:u
獨	t ʊ k
獲	w ɔ: k
獲	w a:i
獵	l i: p
獸	s ɐu
獻	h i: n
玄	j y: n
率	l ɵ t
率	s ɵ t
玉	j ʊ k
王	w ɔ: ŋ
玟	m ɐ n
玩	w u: n
玩	w a: n
玫	m u:i
玲	l ɪ ŋ
玻	p ɔ:
珀	pʰ a: k
珊	s a: n
珍	t s ɐ n
珏	f ɐ t
珒	t sʰ a: p
珠	t s y:
班	p a: n
現	j i: n
球	kʰ ɐu
理	l ei
琉	l ɐu
琚	k ɵy
琛	s ɐ m
琦	kʰ ei
琳	l ɐ m
琴	kʰ ɐ m
琵	pʰ ei
琶	pʰ a:
瑆	s ɪ ŋ
瑕	h a:
瑙	n ou
瑚	w u:
瑜	j y:
瑞	s ɵy
瑟	s ɐ t
瑤	j i:u
瑧	t s ɵy
瑪	m a:
瑰	k w ɐi
璀	t sʰ ɵy
璃	l ei
璇	s y: n
璈	ŋ ou
璉	l i: n
璐	l ou
璟	k ɪ ŋ
璧	p ɪ k
璨	t sʰ a: n
環	w a: n
璵	j y:
璽	s a:i
瓊	kʰ ɪ ŋ
瓏	l ʊ ŋ
瓜	k w a:
瓦	ŋ a:
瓶	pʰ ɛ: ŋ
瓶	pʰ ɪ ŋ
甘	k ɐ m
甚	s ɐ p
甚	s ɐ m
甜	tʰ i: m
生	s ɐ ŋ
生	s a: ŋ
產	t sʰ a: n
甥	s ɐ ŋ
甥	s a: ŋ
用	j ʊ ŋ
甩	l ɐ t
甫	pʰ ou
甫	f u:
田	tʰ i: n
由	j ɐu
甲	k a: p
申	s ɐ n
甴	k a: t
甴	t s a: t
男	n a: m
甸	t i: n
畀	p ei
畋	tʰ i: n
界	k a:i
畏	w ɐi
畐	f u:
畔	p u: n
留	l ɐu
畜	t sʰ ʊ k
畝	m ɐu
畢	p ɐ t
略	l œ: k
番	pʰ u: n
番	f a: n
畫	w a:
畫	w a: k
異	j i:
當	t ɔ: ŋ
畿	k ei
疆	k œ: ŋ
疇	t sʰ ɐu
疊	t a: p
疊	t i: p
疏	s ɔ:
疑	j i:
疚	k ɐu
疤	p a:
疫	j ɪ k
疲	pʰ ei
疵	t sʰ i:
疹	t sʰ ɐ n
疹	t s ɐ n
疼	tʰ ɐ ŋ
疼	tʰ ʊ ŋ
疾	t s ɐ t
病	p ɪ ŋ
病	p ɛ: ŋ
症	t s ɪ ŋ
痕	h ɐ n
痛	tʰ ʊ ŋ
痢	l ei
痧	s a:
痰	tʰ a: m
痱	f ɐi
痱	f ei
痴	t sʰ i:
痺	p ei
痾	ŋ ɔ:
痾	ɔ:
瘀	j y:
瘁	s ɵy
瘋	f ʊ ŋ
瘌	l a: t
瘓	w u: n
瘟	w ɐ n
瘡	t sʰ ɔ: ŋ
瘦	s ɐu
療	l i:u
癆	l ou
癌	a: m
癌	ŋ a: m
癡	t sʰ i:
癢	j œ: ŋ
癩	l a:i
癮	j ɐ n
癱	tʰ a: n
癲	t i: n
登	t ɐ ŋ
發	f a: t
白	p a: k
百	p a: k
皂	t s ou
的	t i:
的	t ɪ k
皆	k a:i
皇	w ɔ: ŋ
皓	k ou
皓	h ou
皚	ŋ ɔ:i
皚	j i:
皮	pʰ ei
皺	t s ɐu
盃	p u:i
盅	t s ʊ ŋ
盆	pʰ u: n
盈	j ɪ ŋ
益	j ɪ k
盏	w ɐ n
盒	h ɐ p
盒	h a: p
盔	kʰ w ɐi
盛	s ɪ ŋ
盜	t ou
盞	t s a: n
盟	m ɐ ŋ
盡	t s ɵ n
監	k a: m
盤	pʰ u: n
盧	l ou
盪	t ɔ: ŋ
目	m ʊ k
盲	m a: ŋ
直	t s ɪ k
相	s œ: ŋ
盼	pʰ a: n
盾	tʰ ɵ n
盾	s ɵ n
省	s ɪ ŋ
省	s a: ŋ
眉	m ei
看	h ɔ: n
眞	t s ɐ n
真	t s ɐ n
眠	m i: n
眨	t s a: p
眨	t s a: m
眯	m ei
眶	h ɔ: ŋ
眶	kʰ w a: ŋ
眷	k y: n
眸	m ɐu
眼	a: n
眼	ŋ a: n
眾	t s ʊ ŋ
着	t s œ: k
睄	s a:u
睄	t sʰ i:u
睇	tʰ ɐi
睏	kʰ w ɐ n
睛	t s ɪ ŋ
睜	t s a: ŋ
睜	t s ɐ ŋ
睡	s ɵy
督	t ʊ k
睥	pʰ ɐi
睦	m ʊ k
睨	ŋ ɐi
睬	t sʰ ɔ:i
睹	t ou
睿	j ɵy
瞄	m i:u
瞅	t sʰ ɐu
瞌	h ɐ p
瞓	f ɐ n
瞞	m u: n
瞬	s ɵ n
瞭	l i:u
矛	m a:u
知	t s i:
矩	k ɵy
短	t y: n
矮	ɐi
矮	ŋ ɐi
矮	a:i
石	t a: m
石	s ɛ: k
砂	s a:
砌	t sʰ ɐi
砍	h ɐ m
砒	pʰ ei
研	ŋ a: n
研	j i: n
砰	pʰ ɪ ŋ
砲	pʰ a:u
砲	p a:u
破	pʰ ɔ:
砵	p u: t
砸	t s a: p
硤	k i: p
硤	h a: p
硬	ŋ a: ŋ
碇	t ɪ ŋ
碇	t ɛ: ŋ
碉	t i:u
碌	l ʊ k
碎	s ɵy
碑	p ei
碗	w u: n
碘	t i: n
碟	t i: p
碧	p ɪ k
碰	pʰ ʊ ŋ
確	kʰ ɔ: k
碼	m a:
磅	p ɔ: ŋ
磊	l ɵy
磐	pʰ u: n
磚	t s y: n
磡	h ɐ m
磨	m ɔ:
磯	k ei
礎	t sʰ ɔ:
礙	ŋ ɔ:i
礦	k w ɔ: ŋ
礦	kʰ w ɔ: ŋ
礫	l ɪ k
示	s i:
社	s ɛ:
祈	kʰ ei
祐	j ɐu
祖	t s ou
祝	t s ʊ k
神	s ɐ n
祟	s ɵy
祠	t sʰ i:
祥	t sʰ œ: ŋ
票	pʰ i:u
票	p i:u
祭	t s ɐi
祿	l ʊ k
禁	k ɐ m
禁	kʰ ɐ m
禍	w ɔ:
福	f ʊ k
禡	m a:
禧	h ei
禪	s i: m
禪	s i: n
禮	l ɐi
禱	t ou
禱	tʰ ou
禽	kʰ ɐ m
禾	w ɔ:
秀	s ɐu
私	s i:
秅	t sʰ a:
秉	p ɪ ŋ
秋	t sʰ ɐu
科	f ɔ:
秒	m i:u
秘	p i: t
秘	p ei
租	t s ou
秤	t sʰ ɪ ŋ
秦	t sʰ ɵ n
秧	j œ: ŋ
秩	t i: t
移	j i:
稀	h ei
稅	s ɵy
稈	k ɔ: n
程	t sʰ ɪ ŋ
稍	s a:u
稔	n ɐ m
稚	t s i:
稟	l ɐ m
稟	p ɐ n
稠	t sʰ ɐu
種	t s ʊ ŋ
稱	t sʰ ɪ ŋ
稱	t sʰ ɐ n
稻	t ou
稿	k ou
穀	k ʊ k
穌	s ou
積	t s ɪ k
穎	w ɪ ŋ
穗	s ɵy
穢	w ɐi
穩	w ɐ n
穫	w ɔ: k
穴	j y: t
究	k ɐu
空	h ʊ ŋ
穿	t sʰ y: n
突	t ɐ t
窄	t s a: k
窒	t s ɐ t
窗	t sʰ œ: ŋ
窠	f ɔ:
窠	w ɔ:
窩	w ɔ:
窮	kʰ ʊ ŋ
窰	j i:u
窿	l ʊ ŋ
竄	t sʰ y: n
竅	kʰ i:u
竅	h i:u
竇	t ɐu
竊	s i: t
立	l a: p
立	l ɐ p
站	t s a: m
竟	k ɪ ŋ
章	t s œ: ŋ
童	tʰ ʊ ŋ
端	t y: n
競	k ɪ ŋ
竹	t s ʊ k
笆	p a:
笈	kʰ ɐ p
笏	f ɐ t
笑	s i:u
笙	s ɐ ŋ
笙	s a: ŋ
笛	t ɛ: k
笠	l ɐ p
符	f u:
笨	p ɐ n
笪	t a: t
第	t ɐi
筆	p ɐ t
等	t ɐ ŋ
筋	k ɐ n
筍	s ɵ n
筏	f ɐ t
筒	tʰ ʊ ŋ
答	t a: p
策	t sʰ a: k
筲	s a:u
筵	j i: n
筷	f a:i
箇	k ɔ:
箋	t s i: n
箍	kʰ u:
箍	f u:
箔	p ɔ: k
箕	k ei
算	s y: n
管	k u: n
箭	t s i: n
箱	s œ: ŋ
箴	t s ɐ m
節	t s i: t
範	f a: n
篇	pʰ i: n
築	t s ʊ k
篋	h a: p
篙	k ou
篤	t ʊ k
篳	p ɐ t
簁	s i:
簍	l ɐu
簡	k a: n
簪	t s a: m
簫	s i:u
簽	t sʰ i: m
簾	l i: m
簿	p ou
籃	l a: m
籌	t sʰ ɐu
籍	t s ɪ k
籐	tʰ ɐ ŋ
籠	l ʊ ŋ
籤	t sʰ i: m
籬	l ei
籮	l ɔ:
籲	j œ: k
籲	j y:
米	m ɐi
籽	t s i:
粉	f ɐ n
粒	n ɐ p
粒	l ɐ p
粗	t sʰ ou
粟	s ʊ k
粥	t s ʊ k
粱	l œ: ŋ
粳	k ɐ ŋ
粵	j y: t
粹	s ɵy
粼	l ɵ n
粽	t s ʊ ŋ
精	t s ɛ: ŋ
精	t s ɪ ŋ
粿	k w ɔ:
糉	t s ʊ ŋ
糊	w u:
糍	t sʰ i:
糕	k ou
糖	tʰ ɔ: ŋ
糞	f ɐ n
糟	t s ou
糧	l œ: ŋ
糬	t sʰ ɐu
糯	n ɔ:
糰	tʰ y: n
糴	t ɛ: k
系	h ɐi
糾	t ɐu
糾	k ɐu
紀	k ei
約	j œ: k
紅	h ʊ ŋ
紅	k ʊ ŋ
納	n a: p
紐	n ɐu
紐	l ɐu
紓	s y:
純	t s ɵ n
純	s ɵ n
紗	s a:
紙	t s i:
級	kʰ ɐ p
紛	f ɐ n
素	s ou
索	s ʊ k
索	s a: k
索	s ɔ: k
紥	t s a: t
紫	t s i:
紮	t s a: t
累	l ɵy
細	s ɐi
紳	s ɐ n
紹	s i:u
終	t s ʊ ŋ
組	t s ou
結	k i: t
結	l i: t
絕	t s y: t
絞	k a:u
絡	l ɔ: k
給	kʰ ɐ p
絨	j ʊ ŋ
統	tʰ ʊ ŋ
絲	s i:
絶	t s i: t
綁	p ɔ: ŋ
經	k ɪ ŋ
綜	t s ʊ ŋ
綠	l ʊ k
綫	s i: n
維	w ɐi
網	m ɔ: ŋ
綵	t sʰ ɔ:i
綽	t sʰ œ: k
綿	m i: n
緊	k ɐ n
緒	s ɵy
緘	k a: m
緘	t s i: n
線	s i: n
緣	j y: n
編	pʰ i: n
緩	w u: n
緬	m i: n
緲	m i:u
練	l i: n
緻	t s i:
縉	t s ɵ n
縊	ɐi
縛	f ɔ: k
縛	p ɔ: k
縣	j y: n
縫	f ʊ ŋ
縮	s ʊ k
縱	t s ʊ ŋ
縷	l ɐu
縷	l ɵy
縹	pʰ i:u
總	t s ʊ ŋ
績	t s ɛ: k
績	t s ɪ k
繁	f a: n
織	t s ɪ k
繞	j i:u
繩	s ɪ ŋ
繫	h ɐi
繳	k i:u
繳	t s œ: k
繹	j ɪ k
繼	k ɐi
續	t s ʊ k
纏	t sʰ i: n
纏	t s i: n
纔	t sʰ ɔ:i
纖	t sʰ i: m
纜	l a: m
缸	k ɔ: ŋ
缺	kʰ y: t
缽	p u: t
罄	h ɪ ŋ
罅	l a:
罐	k u: n
罔	m ɔ: ŋ
罕	h ɔ: n
罟	k u:
罩	t s a:u
罪	t s ɵy
置	t s i:
罰	f ɐ t
署	t sʰ y:
署	s y:
罵	m a:
罷	p a:
罷	pʰ ei
罹	l ei
羅	l ɔ:
羈	k ei
羊	j œ: ŋ
羌	k œ: ŋ
美	m ei
羞	s ɐu
羣	kʰ w ɐ n
群	kʰ w ɐ n
義	j i:
羲	h ei
羹	k ɐ ŋ
羽	j y:
翁	j ʊ ŋ
翅	t sʰ i:
翌	j ɪ k
習	t s a: p
翔	t sʰ œ: ŋ
翕	j ɐ p
翠	t sʰ ɵy
翡	f ei
翩	pʰ i: n
翰	h ɔ: n
翱	ŋ ou
翹	kʰ i:u
翻	f a: n
翼	j ɪ k
耀	j i:u
老	l ou
考	h a:u
者	t s ɛ:
而	j i:
耍	s a:
耐	l ɔ:i
耐	n ɔ:i
耕	k a: ŋ
耕	k ɐ ŋ
耗	h ou
耘	w ɐ n
耳	j i:
耶	j ɛ:
耷	t a: p
耷	t ɐ p
耿	k ɐ ŋ
聆	l ɪ ŋ
聊	l i:u
聖	s ɪ ŋ
聘	pʰ ɪ ŋ
聚	t s ɵy
聞	m ɐ n
聯	l y: n
聰	t sʰ ʊ ŋ
聲	s ɪ ŋ
聲	s ɛ: ŋ
聳	s ʊ ŋ
聶	n i: p
職	t s ɪ k
聼	tʰ ɪ ŋ
聽	tʰ ɪ ŋ
聽	tʰ ɛ: ŋ
聾	l ʊ ŋ
肅	s ʊ k
肆	s i:
肆	s ei
肇	s i:u
肉	j ʊ k
肋	l ɐ k
肋	l a: k
肌	k ei
肓	f ɔ: ŋ
肖	t sʰ i:u
肘	t s ɐu
肘	t s a:u
肚	tʰ ou
肛	k ɔ: ŋ
肝	k ɔ: n
股	k u:
肥	f ei
肨	pʰ ɔ: ŋ
肩	k i: n
肯	h ɐ ŋ
肯	h ɔ:i
育	j ʊ k
肴	ŋ a:u
肴	a:u
肺	f ɐi
胃	w ɐi
背	p u:i
胎	tʰ ɔ:i
胚	pʰ u:i
胡	w u:
胭	j i: n
胸	h ʊ ŋ
胺	ŋ ɔ: n
胺	ɔ: n
能	n ɐ ŋ
脂	t s i:
脅	h i: p
脆	t sʰ ɵy
脈	m ɐ k
脊	t s ɛ: k
脊	t s ɪ k
脛	k ɪ ŋ
脛	h ɪ ŋ
脫	tʰ y: t
脷	l ei
脹	t s œ: ŋ
脾	pʰ ei
腋	j ɐ t
腋	j ɪ k
腋	j i: t
腍	l ɐ m
腍	j ɐ m
腍	n ɐ m
腎	s ɐ n
腐	f u:
腔	h ɔ: ŋ
腕	w u: n
腥	s ɪ ŋ
腥	s ɛ: ŋ
腦	n ou
腩	l a: m
腩	n a: m
腫	t s ʊ ŋ
腰	j i:u
腳	k œ: k
腸	t sʰ œ: ŋ
腹	f ʊ k
腺	s i: n
腿	tʰ ɵy
膀	p ɔ: ŋ
膀	pʰ ɔ: ŋ
膊	p ɔ: k
膏	k ou
膚	f u:
膜	m ɔ: k
膜	m ou
膝	s ɐ t
膠	k a:u
膨	pʰ a: ŋ
膩	n ɐu
膩	n ei
膳	s i: n
膺	j ɪ ŋ
膽	t a: m
臂	p ei
臉	l i: m
臘	l a: p
臘	l i: p
臟	t s ɔ: ŋ
臣	s ɐ n
臨	l ɐ m
自	t s i:
臭	t sʰ ɐu
至	t s i:
致	t s i:
臺	tʰ ɔ:i
臻	t s ɵ n
臼	kʰ ɐu
舂	t s ʊ ŋ
舅	kʰ ɐu
與	j y:
興	h ɪ ŋ
舉	k ɵy
舊	k ɐu
舌	s i: t
舍	s ɛ:
舐	s a:i
舐	l a:i
舐	l ɛ: m
舐	l i: m
舒	s y:
舔	tʰ i: m
舖	pʰ ou
舞	m ou
舟	t s ɐu
舢	s a: n
舨	p a: n
航	h ɔ: ŋ
般	p ɔ:
般	p u: n
舶	p a: k
舶	pʰ a: k
舶	p ɔ: k
船	s y: n
艇	tʰ ɛ: ŋ
艇	tʰ ɪ ŋ
艦	l a: m
良	l œ: ŋ
艱	k a: n
色	s ɪ k
艷	j i: m
艾	ŋ a:i
芋	w u:
芒	m ɔ: ŋ
芙	f u:
芝	t s i:
芥	k a:i
芫	j y: n
芬	f ɐ n
芭	p a:
芯	s ɐ m
花	f a:
芳	f ɔ: ŋ
芹	kʰ ɐ n
芽	ŋ a:
苑	j y: n
苔	tʰ ɔ:i
苗	m i:u
苟	k ɐu
苣	k ɵy
若	j œ: k
若	j ɛ:
苦	f u:
英	j ɪ ŋ
茂	m ɐu
范	f a: n
茄	kʰ ɛ:
茄	k a:
茅	m a:u
茜	s i: n
茜	s ɐi
茨	t sʰ i:
茫	m ɔ: ŋ
茱	t s y:
茴	w u:i
茵	j ɐ n
茶	t sʰ a:
茸	j ʊ ŋ
茹	j y:
荃	t sʰ y: n
荇	h ɐ ŋ
草	t sʰ ou
荊	k ɪ ŋ
荒	f ɔ: ŋ
荔	l ɐi
荷	h ɔ:
莆	pʰ ou
莆	f u:
莉	l ei
莊	t s ɔ: ŋ
莎	s ɔ:
莎	s a:
莓	m u:i
莞	w u: n
莞	k u: n
莫	m ɔ: k
莫	m ou
莽	m ɔ: ŋ
菁	t sʰ ɪ ŋ
菁	t s ɪ ŋ
菇	k u:
菊	k ʊ k
菌	kʰ w ɐ n
菓	k w ɔ:
菜	t sʰ ɔ:i
菠	p ɔ:
菩	pʰ ou
華	w a:
華	f a:
菱	l ɪ ŋ
菲	f ei
菴	ɐ m
萃	s ɵy
萄	tʰ ou
萊	l ɔ:i
萋	t sʰ ɐi
萍	pʰ ɪ ŋ
萎	w ɐi
萬	m a: n
萸	j y:
萺	t s ɪ k
落	l ɔ: k
落	l a:i
葉	s i: p
葉	j i: p
著	t s œ: k
著	t s y:
葛	k ɔ: t
葡	pʰ ou
董	t ʊ ŋ
葫	w u:
葬	t s ɔ: ŋ
葳	w ɐi
葵	kʰ w ɐi
蒂	t ɐi
蒐	s ɐu
蒙	m ʊ ŋ
蒜	s y: n
蒞	l ei
蒡	p ɔ: ŋ
蒲	pʰ ou
蒸	t s ɪ ŋ
蒼	t sʰ ɔ: ŋ
蓀	s y: n
蓆	t s ɛ: k
蓆	t s ɪ k
蓉	j ʊ ŋ
蓋	k ɐ p
蓋	h ɐ p
蓋	k ɔ:i
蓋	kʰ ɔ:i
蓓	pʰ u:i
蓓	p u:i
蓬	pʰ ʊ ŋ
蓬	f ʊ ŋ
蓮	l i: n
蓺	ŋ ɐi
蔓	m a: n
蔔	p a: k
蔗	t s ɛ:
蔚	w ɐi
蔚	w ɐ t
蔥	t sʰ ʊ ŋ
蔫	j i: n
蔬	s ɔ:
蔭	j ɐ m
蔽	p ɐi
蕃	f a: n
蕉	t s i:u
蕎	kʰ i:u
蕙	w ɐi
蕩	t ɔ: ŋ
蕪	m ou
蕭	s i:u
蕾	l ɵy
薄	p ɔ: k
薇	m ei
薈	w u:i
薈	w ɐi
薈	kʰ u:i
薏	j i:
薑	k œ: ŋ
薩	s a: t
薪	s ɐ n
薯	s y:
薰	f ɐ n
藉	t s ɛ:
藉	t s ɪ k
藍	l a: m
藏	t sʰ ɔ: ŋ
藏	t s ɔ: ŋ
藐	m i:u
藕	ŋ ɐu
藝	ŋ ɐi
藤	tʰ ɐ ŋ
藥	j œ: k
藹	ŋ ɔ:i
藹	ɔ:i
藻	t s ou
蘅	h ɐ ŋ
蘆	l ou
蘇	s ou
蘋	pʰ ɪ ŋ
蘋	pʰ ɐ n
蘑	m ɔ:
蘭	l a: n
蘸	t s a: m
蘿	l ɔ:
虎	f u:
虐	j œ: k
虓	h a:u
處	s y:
處	t sʰ y:
虛	h ɵy
虞	j y:
號	h ou
虧	kʰ w ɐi
虧	f ɐi
虱	s ɐ t
虹	h ʊ ŋ
蚊	m ɐ n
蚌	pʰ ɔ: ŋ
蚝	h ou
蚵	h ɔ:
蚺	j i: m
蚺	n a: m
蛇	s ɛ:
蛇	j i:
蛋	t a: n
蛙	w a:
蛛	t s y:
蛟	k a:u
蛤	k ɐ p
蛤	k a: p
蛤	h a:
蛾	ŋ ɐi
蛾	ŋ ɔ:
蛾	ɔ:
蜀	s ʊ k
蜂	f ʊ ŋ
蜆	h i: n
蜇	t s i: t
蜊	l ei
蜘	t s i:
蜜	m ɐ t
蜢	m a: ŋ
蝕	s i: t
蝕	s ɪ k
蝗	w ɔ: ŋ
蝦	h a:
蝨	s ɐ t
蝴	w u:
蝶	t i: p
蝸	w ɔ:
融	j ʊ ŋ
螞	m a:
螢	j ɪ ŋ
螺	l ɔ:
蟀	t s ɵ t
蟀	s ɵ t
蟆	m a:
蟋	s ɪ k
蟠	pʰ u: n
蟠	f a: n
蟬	s i: m
蟬	s i: n
蟲	t sʰ ʊ ŋ
蟹	h a:i
蟻	ŋ ɐi
蟻	ɐi
蠅	j ɪ ŋ
蠔	h ou
蠟	l a: p
蠢	t sʰ ɵ n
蠱	k u:
蠶	t sʰ a: m
蠻	m a: n
血	h y: t
衆	t s ʊ ŋ
行	h a: ŋ
行	h ɐ ŋ
行	h ɔ: ŋ
衍	j i: n
衍	h i: n
術	s ɵ t
街	k a:i
衙	ŋ a:
衙	a:
衛	w ɐi
衝	t sʰ ʊ ŋ
衞	w ɐi
衡	w a: ŋ
衡	h ɐ ŋ
衣	j i:
表	p i:u
衫	s a: m
衰	s ɵy
衰	t sʰ ɵy
衲	n a: p
衷	t s ʊ ŋ
衷	t sʰ ʊ ŋ
衾	kʰ ɐ m
袁	j y: n
袋	t ɔ:i
袖	t s ɐu
被	p ei
被	pʰ ei
裁	t sʰ ɔ:i
裇	s ɵ t
裏	l ei
裏	l ɵy
裔	j ɵy
裕	j y:
裘	kʰ ɐu
裙	kʰ w ɐ n
補	p ou
裝	t s ɔ: ŋ
裡	l ei
裡	l ɵy
裳	s œ: ŋ
裴	pʰ u:i
製	t s ɐi
複	f ʊ k
褒	p ou
褦	l ɐ ŋ
褦	n ɐ ŋ
褦	n a:i
褦	l ɛ:
褪	tʰ ɐ n
褲	f u:
褸	l ɐu
褸	l ɵy
襟	kʰ ɐ m
襟	k ɐ m
襪	m a: t
襪	m ɐ t
襯	t sʰ ɐ n
襲	t s a: p
西	s ɐi
要	j i:u
覆	f ʊ k
覆	f ɐu
見	j i: n
見	k i: n
規	kʰ w ɐi
覓	m ɪ k
視	s i:
親	t sʰ ɐ n
覲	k ɐ n
覺	k a:u
覺	k ɔ: k
覽	l a: m
觀	k u: n
角	k ɔ: k
角	l ʊ k
解	h a:i
解	k a:i
觴	s œ: ŋ
觸	t s ʊ k
觸	t sʰ ʊ k
言	j i: n
訂	t ɪ ŋ
訂	t ɛ: ŋ
計	k ɐi
計	k ei
訊	s ɵ n
討	tʰ ou
訓	f ɐ n
訕	s a: n
託	tʰ ɔ: k
記	k ei
訛	ŋ ɔ:
訝	ŋ a:
訪	f ɔ: ŋ
設	t sʰ i: t
許	h ɵy
訴	s ou
診	t sʰ ɐ n
診	t s ɐ n
註	t s y:
証	t s ɪ ŋ
詆	t ɐi
詐	t s a:
評	pʰ ɪ ŋ
詛	t s ɔ:
詞	t sʰ i:
詢	s ɵ n
試	s i:
詩	s i:
詬	k ɐu
詬	h ɐu
詭	k w ɐi
話	w a:
該	k ɔ:i
詳	t sʰ œ: ŋ
詹	t s i: m
誅	t s y:
誇	kʰ w a:
誌	t s i:
認	j ɪ ŋ
認	j ɐ n
誓	s ɐi
誕	t a: n
誘	j ɐu
語	j y:
誠	s ɪ ŋ
誡	k a:i
誤	ŋ
誨	f u:i
說	s y: t
說	j y: t
說	s ɵy
説	s y: t
誰	s ɵy
課	f ɔ:
誼	j i:
調	t ɛ:u
調	tʰ i:u
調	t i:u
談	tʰ a: m
請	t sʰ ɪ ŋ
請	t sʰ ɛ: ŋ
諒	l œ: ŋ
論	l ɵ n
諗	s ɐ m
諗	n ɐ m
諗	l ɐ m
諜	t i: p
諦	t ɐi
諧	h a:i
諫	k a: n
諷	f ʊ ŋ
諸	t s y:
諺	j i: n
諾	n ɔ: k
謀	m ɐu
謁	kʰ i: t
謁	j i: t
謂	w ɐi
謊	f ɔ: ŋ
謎	m ɐi
謔	j œ: k
謙	h i: m
講	k ɔ: ŋ
謝	t s ɛ:
謢	m ɐ ŋ
謬	m ɐu
謹	k ɐ n
謾	m a: n
證	t s ɪ ŋ
譎	kʰ y: t
譖	t s ɐ m
譖	t sʰ ɐ m
識	t s i:
識	s ɪ k
譚	tʰ a: m
譜	pʰ ou
警	k ɪ ŋ
譬	pʰ ei
譯	j ɪ k
議	j i:
譴	h i: n
護	w u:
譽	j y:
讀	t ʊ k
讀	t ɐu
變	p i: n
讎	t sʰ ɐu
讓	j œ: ŋ
讚	t s a: n
谷	j ʊ k
谷	k ʊ k
豁	kʰ u: t
豁	k u: t
豂	l i:u
豆	t ɐu
豈	h ei
豈	h ɔ:i
豉	s i:
豎	s y:
豐	f ʊ ŋ
豚	tʰ y: n
象	t s œ: ŋ
豪	h ou
豫	j y:
豬	t s y:
豹	pʰ a:u
豹	p a:u
貂	t i:u
貌	m a:u
貓	m a:u
貝	p u:i
負	f u:
財	t sʰ ɔ:i
貢	k ʊ ŋ
貧	pʰ ɐ n
貨	f ɔ:
販	f a: n
貪	tʰ a: m
貫	k u: n
責	t s a: k
貴	k w ɐi
貶	p i: n
買	m a:i
貸	tʰ ɪ k
貸	tʰ a:i
費	f ɐi
費	p ei
貼	tʰ i: p
貿	m ɐu
賀	h ɔ:
賃	j ɐ m
資	t s i:
賈	k u:
賈	k a:
賊	t sʰ a: k
賒	s ɛ:
賓	p ɐ n
賜	t sʰ i:
賞	s œ: ŋ
賢	j i: n
賣	m a:i
賤	t s i: n
賦	f u:
質	t s i:
質	t s ɐ t
賬	t s œ: ŋ
賭	t ou
賴	l a:i
賺	t s a: m
賺	t s a: n
購	k ɐu
購	kʰ ɐu
賽	t sʰ ɔ:i
贅	t s ɵy
贈	t s ɐ ŋ
贊	t s a: n
贏	j ɛ: ŋ
贏	j ɪ ŋ
贛	k ʊ ŋ
贛	k ɐ m
贼	t s i: t
赤	t sʰ ɪ k
赤	t sʰ ɛ: k
赫	h a: k
赫	h ɐ k
走	t s ɐu
赴	f u:
起	h ei
趁	t sʰ ɐ n
超	t sʰ i:u
越	j y: t
趌	k ɐ t
趕	k ɔ: n
趙	t s i:u
趣	t sʰ ʊ k
趣	t sʰ ɵy
趨	t sʰ ʊ k
趨	t sʰ ɵy
足	t s ɵy
足	t s ʊ k
趴	pʰ a:
趷	k ɐ t
趷	kʰ a: k
趺	f u:
趾	t s i:
跋	p ɐ t
跌	t i: t
跑	pʰ a:u
跛	p ɐi
跛	p ɔ:
跛	p ei
距	k ɵy
距	kʰ ɵy
跟	k ɐ n
跡	t s ɛ: k
跡	t s ɪ k
跣	s i: n
跨	kʰ w a:
跪	k w ɐi
路	l ou
跳	tʰ i:u
踎	m ɐu
踏	t a: p
踐	t sʰ i: n
踐	t s i: n
踢	tʰ ɛ: k
踩	t sʰ ɔ:i
踩	t sʰ a:i
踪	t s ʊ ŋ
踱	t ɔ: k
踹	t sʰ y: n
踹	j a:i
踹	t sʰ a:i
蹄	tʰ ɐi
蹆	tʰ ɐ n
